song,relpitch_2gram,relpitch_3gram,relrhythm_2gram,relrhythm_3gram
NHSDiscography-001,1,NA,0.6725424019357799,0.5380276525114005
NHSDiscography-002,0.9521878462757823,0.2567579732262598,0.8336934859676106,0.6475154697818712
NHSDiscography-003,0.9907412113567573,0.9815951993054464,0.9937114271353199,0.9770551052060178
NHSDiscography-004,0.9902836829134684,0.9752115036211392,0.9586677370514807,0.8958942391418158
NHSDiscography-005,0.7977444750997268,0.12689717430765668,0.9680231380193943,0.9433510702143862
NHSDiscography-006,0.7616708853600767,0.6457025998303166,0.8801911740596593,0.7150383564725049
NHSDiscography-007,0.9768687108316729,0.6820568864771486,0.9837757926868037,0.9648662664841378
NHSDiscography-008,0.7877951261246413,0.4727033885995716,0.8490013927440777,0.30434752836130485
NHSDiscography-009,0.6697080442075757,0.3100116416978227,0.9174663796980035,0.8762765461599843
NHSDiscography-010,0.9106967519391399,0.4404512886077364,0.7023746678986725,0.5075924908140363
NHSDiscography-011,0.8383651251838979,0.05021620472433308,0.9245934674601312,0.5506314305416251
NHSDiscography-012,0.9896648475653045,0.931295409399376,0.782787632804752,0.35118225040344586
NHSDiscography-013,0.9946909233029969,0.9783545548880916,0.98974466634596,0.9780832747230437
NHSDiscography-014,0.987765928198296,0.9598721958331657,0.8439981473834596,0.8015914891633313
NHSDiscography-015,0.9335324572104657,0.5970312078367421,0.9831553025206166,0.9614921785900589
NHSDiscography-016,0.9593550691445617,0.942146842487711,0.9568336160535762,0.9308487144774698
NHSDiscography-017,0.8038412240614179,0.003301706538815341,0.9863227612152046,0.9450318828644234
NHSDiscography-018,0.7992064639734942,0.03561824515539047,0.5278194013738103,0.5166967582467599
NHSDiscography-019,0.8908551162380663,0.43098116636140227,0.9526893505730414,0.7905164951925839
NHSDiscography-020,0.9862585929735317,0.9599313223540975,0.9532331337578641,0.8363641181541301
NHSDiscography-021,0.8715149519744727,0.3971186262182155,0.9720165370479638,0.8463980195748207
